イシュー ID,説明,状態,重要度,ストーリー ポイント,プロジェクト パス,場所の種類,パス,線,列,インシデント ID,ヘルプ リンク,アセンブリ名,アセンブリ バージョン,アセンブリ公開キー,スニペット
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,meguri\meguri.csproj,File,meguri\meguri.csproj,,,Microsoft.EntityFrameworkCore.Tools 2.0.3,,,,,"Microsoft.EntityFrameworkCore.Tools, 2.0.3  レコメンデーション：  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.11"
NuGet.0002,NuGet パッケージのアップグレードをおすすめします,Active,Potential,1,meguri\meguri.csproj,File,meguri\meguri.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 2.0.4,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 2.0.4  レコメンデーション：  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.2"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,meguri\meguri.csproj,File,meguri\meguri.csproj,,,Microsoft.AspNetCore.All 2.0.9,,,,,"Microsoft.AspNetCore.All, 2.0.9  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.AspNetCore.All, and replace with new package Microsoft.AspNetCore.All, 2.2.8"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,meguri\meguri.csproj,File,meguri\meguri.csproj,,,Microsoft.EntityFrameworkCore.Tools 2.0.3,,,,,"Microsoft.EntityFrameworkCore.Tools, 2.0.3  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools, 10.0.11"
NuGet.0004,NuGet パッケージにセキュリティの脆弱性が含まれています,Active,Optional,1,meguri\meguri.csproj,File,meguri\meguri.csproj,,,Microsoft.NETCore.App 2.0.0,,,,,"Microsoft.NETCore.App, 2.0.0  レコメンデーション：  Microsoft.NETCore.App, 2.2.8"
NuGet.0005,NuGet パッケージは非推奨です,Active,Optional,1,meguri\meguri.csproj,File,meguri\meguri.csproj,,,Microsoft.NETCore.App 2.0.0,,,,,"Microsoft.NETCore.App, 2.0.0  レコメンデーション：  This package has been deprecated as part of the .NET Package Deprecation effort. You can learn more about it from https://github.com/dotnet/announcements/issues/217 Remove Microsoft.NETCore.App, and replace with new package Microsoft.NETCore.App, 2.2.8"
Project.0002,プロジェクトのターゲット フレームワークを変更する必要がある,Active,Mandatory,1,meguri\meguri.csproj,File,meguri\meguri.csproj,,,,,,,,現在のターゲット フレームワーク: netcoreapp2.0 推奨されるターゲット フレームワーク: net10.0
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Program.cs,19,8,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,public static IWebHost BuildWebHost(string[] args)
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Program.cs,20,12,T:Microsoft.AspNetCore.WebHost,,,,,WebHost.CreateDefaultBuilder(args)
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Program.cs,20,12,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,WebHost.CreateDefaultBuilder(args)                  .UseStartup<Startup>()                  .Build()
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Program.cs,16,12,T:Microsoft.AspNetCore.Hosting.IWebHost,,,,,BuildWebHost(args).Run();
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Startup.cs,42,8,T:Microsoft.AspNetCore.Hosting.IHostingEnvironment,,,,,"public void Configure(IApplicationBuilder app, IHostingEnvironment env)"
Api.0003,選択した .NET バージョンでの動作の変更,Active,Potential,1,meguri\meguri.csproj,File,meguri\Startup.cs,51,16,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Home/Error"");"
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Startup.cs,47,16,T:Microsoft.AspNetCore.Builder.DatabaseErrorPageExtensions,,,,,app.UseDatabaseErrorPage();
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Startup.cs,47,16,M:Microsoft.AspNetCore.Builder.DatabaseErrorPageExtensions.UseDatabaseErrorPage(Microsoft.AspNetCore.Builder.IApplicationBuilder),,,,,app.UseDatabaseErrorPage();
Api.0002,選択した .NET バージョンではソースに互換性がありません,Active,Potential,1,meguri\meguri.csproj,File,meguri\Startup.cs,31,12,T:Microsoft.Extensions.DependencyInjection.IdentityEntityFrameworkBuilderExtensions,,,,,"services.AddIdentity<ApplicationUser, IdentityRole>()                  .AddEntityFrameworkStores<ApplicationDbContext>()                  .AddDefaultTokenProviders();"
